feature,class_label
"[-4.7255554e+02  3.6757656e+01 -2.1166637e+01  2.7753017e+00
 -1.0857033e+00 -1.1617510e+01 -1.3894683e+00 -5.0196247e+00
 -5.9132190e+00  3.4223747e+00 -3.7417023e+00  2.3261843e+00
 -4.7027493e+00  8.1439912e-01  3.8492377e+00  1.0147626e+00
  4.0124989e+00  8.6562576e+00  6.1052809e+00  9.2475977e+00
  8.4329863e+00  4.8062501e+00  2.7249181e+00  6.4920535e+00
  2.9158144e+00  7.9625659e+00  5.4586129e+00  5.7841077e+00
  4.4999032e+00  3.9393308e+00  3.8535545e+00  3.0031254e+00
  2.3929181e+00  3.8007779e+00  3.0049725e+00  4.1583910e+00
  3.6917632e+00  2.3316281e+00  2.6612840e+00  2.8247423e+00
 -1.9500434e-01  1.0855196e+00  3.2677859e-01  1.1861738e+00
 -1.0479666e+00  6.3432366e-01  7.3270231e-01  4.0264884e-01
  3.0199537e-01 -4.3957418e-01 -9.8373944e-01  1.8057863e+00
  1.0300028e+00  1.6576834e+00  8.7804067e-01  1.7623174e+00
 -1.3984251e-02  7.1270996e-01  2.5261408e-01  1.4348379e+00
  3.7578624e-01  1.4297709e+00 -1.5790556e-01  1.6228366e+00
  1.8188122e-01  7.8131020e-01  3.5588148e-01  1.2520775e+00
  3.3933893e-02  1.2024783e+00  8.6212742e-01  6.6811323e-01
 -4.3894413e-01  4.1740146e-01 -1.7763651e-03  7.9611695e-01
  2.6244181e-01  9.6521163e-01 -5.4072160e-02 -8.8725999e-02
  4.7018483e-01  1.0595764e+00 -1.1475073e-01  7.1409482e-01
  8.2725710e-01  6.5984362e-01  2.2010456e-01  6.9327754e-01
  6.1904031e-01  4.7424778e-01 -1.9893906e-01  2.7296644e-01
  2.9213475e-02  2.7870438e-01  1.6004291e-01  8.5825667e-02
  1.9054067e-01  5.7416683e-01  3.6338735e-01  4.7907433e-01
 -1.5289731e-03  1.4257380e-01  1.8531363e-01  2.8682405e-01
  9.9471221e-03 -1.9173853e-02 -1.5062265e-01 -2.1468079e-02
 -4.3048829e-02 -1.8068524e-01 -3.3004916e-01 -3.5721555e-01
 -3.3637947e-01 -7.2577886e-02 -3.8611418e-01 -1.8473274e-01
 -2.7820578e-01 -4.2070490e-01 -3.0568715e-02 -2.3190245e-01
 -3.1960553e-01  3.6820088e-02  1.6451899e-02 -2.3148820e-02
 -2.3209411e-01 -6.7571402e-02  7.5565979e-02 -3.7503794e-01]",Actor_12
"[-6.8932025e+02  4.5559467e+01  3.4257946e+00  8.9397831e+00
 -3.2264668e-01 -5.3164244e+00 -7.0811641e-01 -1.2766838e+01
 -6.0544133e+00 -3.9020362e+00 -3.5295305e+00 -5.2975807e+00
 -4.1893826e+00 -8.1923062e-01 -3.9204469e+00 -6.4530993e+00
 -5.4562058e+00 -4.6296158e+00 -5.8843951e+00 -5.2151399e+00
 -5.2345223e+00 -4.8810272e+00 -5.1105475e+00 -2.6030536e+00
 -5.5706348e+00 -3.7524211e+00 -3.4168994e+00 -1.6105589e+00
 -1.6792297e+00  3.7497900e+00  4.6607706e-01  5.5459857e+00
  2.6407044e+00  3.5518413e+00  8.0280614e-01  3.2680759e+00
  2.3875682e+00  3.4575684e+00  1.7553412e+00  1.0556099e+00
  2.2554433e-01  2.5393898e+00  2.6872370e+00  2.5067616e+00
  7.9901837e-02  1.0096277e+00 -1.7610934e+00  7.8298616e-01
 -2.7830607e-01  7.7447063e-01 -1.4354199e+00 -7.4616544e-02
 -1.6640619e+00  3.7118500e-01 -1.0357115e+00  6.3823098e-01
 -6.1179614e-01 -1.9861123e-01 -8.6498839e-01  1.7818776e-01
 -7.8921562e-01  1.0862349e-01 -8.9048678e-01  3.8683987e-01
 -2.6357195e-01  3.7755278e-01 -7.2296613e-01 -4.4010651e-01
 -1.1829755e+00  2.0133261e-01 -2.2668658e-01 -5.3653073e-01
 -1.2552979e+00 -4.0325940e-01 -7.0405692e-01 -4.5274246e-01
 -6.8552417e-01  1.5810654e-01 -7.2945851e-01 -7.7616125e-01
 -6.8271911e-01  5.4084271e-01 -7.8246486e-01 -6.5279549e-01
 -7.5451398e-01  1.3251252e-01 -7.0036602e-01 -9.3046971e-02
  3.3425766e-01  4.5639729e-01 -2.3426239e-01  3.2437637e-01
 -5.3851891e-01 -4.9392751e-01 -5.5367070e-01 -1.2095401e-01
 -6.2080257e-02  4.5489648e-01  8.8404551e-02 -1.0041388e-01
 -3.5294563e-02  4.1550303e-01 -8.5946031e-02  1.3154703e-01
 -1.0037122e-01  1.8819204e-01  8.2972720e-02 -6.5667108e-02
 -2.2123365e-01  4.5788330e-01  4.0370101e-01  4.6894714e-01
 -1.9351132e-01  1.6352551e-02  3.4870213e-01  2.6561952e-01
  8.8858515e-02  4.4763988e-01 -1.4353566e-01  8.1702091e-02
  8.3257549e-02  9.4499335e-02  4.6800986e-01  3.7304798e-01
 -4.0644430e-02  8.2008965e-02  3.4459001e-01 -1.0548371e-01]",Actor_18
"[-6.6874579e+02  5.5410492e+01 -9.8702335e+00  8.8903522e+00
 -5.3844628e+00 -3.2466269e+00 -4.7142091e+00 -9.1916952e+00
 -6.5311093e+00 -1.5827595e+00 -5.2515988e+00 -3.7161431e+00
 -5.4978652e+00  3.5455477e-01 -5.9510341e+00 -3.5115039e+00
 -4.7255120e+00 -2.4258745e+00 -5.2492332e+00 -2.4710662e+00
 -1.4833493e+00 -2.6925058e+00 -3.5316739e+00 -4.9685454e-01
  2.3807773e-01 -2.4574671e+00  1.3242702e+00  1.9805479e+00
  2.8576412e+00  5.1202397e+00  3.3148520e+00  6.9200835e+00
  5.6810875e+00  4.4404011e+00  2.3834789e+00  1.3213531e+00
 -2.4671967e+00  1.3654754e-01  2.9909074e-01  4.1162315e-01
 -7.4362552e-01 -7.2830296e-01  1.2663424e-01  6.2830240e-02
 -1.8010473e+00 -9.6182483e-01 -1.8610473e+00 -9.3905693e-01
 -2.0509663e+00  2.1211439e-01 -9.4378334e-01  1.4992626e-01
 -2.4416561e+00 -6.2552236e-02 -3.6266442e-02  3.3462921e-01
 -1.0786065e+00  6.2908041e-01  6.2597525e-01 -1.3449216e-01
 -1.0804183e+00  1.9685388e-01  9.2034155e-01  1.0526241e+00
  1.4053556e-01  1.1168828e+00  9.3145674e-01  3.7594917e-01
 -9.3063432e-01  2.2858420e-01  5.4993212e-01 -1.5630713e-01
 -6.0147977e-01  1.9805714e-01 -5.7527238e-01 -5.5201572e-01
 -6.5435660e-01 -1.5394825e-01  2.8348360e-02  3.1635708e-01
 -5.0898629e-01  3.8084369e-02 -1.8034872e-01 -1.5482150e-01
  9.6339807e-02  4.0832397e-01  6.0965609e-02  1.5361914e-01
  5.0286844e-02  3.7731230e-01  6.4499006e-02  2.0014362e-01
 -4.1935048e-01 -2.6978034e-01 -1.2196294e-01  4.8644078e-01
  2.3157057e-01 -2.5481733e-02  4.3524098e-01  9.4594353e-01
 -1.0104665e-02  2.5231320e-02  2.9139689e-01  2.4256888e-01
  3.5156301e-01  3.1227580e-01 -3.4598332e-02  4.3910220e-02
 -1.4467901e-01  2.2744252e-01  6.0368021e-04 -4.0573177e-01
 -2.8899863e-01 -1.5564980e-01 -2.7656746e-01 -1.0892659e-01
  2.1977960e-01 -2.0587134e-01 -3.0209320e-02  2.8915021e-01
  4.5469500e-02 -4.0494472e-01 -7.2216257e-03  2.0063588e-01
  1.9433945e-01  1.8402451e-01  2.5432914e-01  5.8955323e-02]",Actor_02
"[-5.83769470e+02  5.20044518e+01  6.55322647e+00  1.62350483e+01
  5.56933928e+00 -1.10753918e+00 -4.01247358e+00 -1.71501408e+01
 -2.96697974e+00 -4.09273529e+00 -9.04951096e+00 -2.25639987e+00
 -1.66030049e+00 -4.69395494e+00  2.22145629e+00  1.16637267e-01
 -2.72108173e+00  1.42377287e-01 -1.41255510e+00 -1.88981724e+00
 -5.21000719e+00  1.57628798e+00 -2.92590094e+00 -2.33695880e-01
  1.43994796e+00  2.00434041e+00 -7.70313203e-01  3.00767541e+00
 -1.11297762e+00 -1.40638068e-01 -1.66317809e+00  3.04166961e+00
  3.07661581e+00  5.73118591e+00  5.54982615e+00  9.30197906e+00
  4.42013693e+00  5.58100653e+00  9.70674992e-01  1.50919962e+00
  1.10075760e+00  1.58232129e+00 -6.04838371e-01 -1.42935610e+00
 -1.64239919e+00 -6.55482113e-01 -1.37645197e+00  4.14334148e-01
 -1.09468162e+00  8.25688764e-02 -1.26304686e+00  3.54392707e-01
 -1.26797497e+00 -3.05809230e-01 -2.01529360e+00  2.18574896e-01
  2.63527870e-01  8.74930441e-01 -2.44317317e+00 -5.65370321e-01
 -1.64062154e+00  7.58685395e-02 -1.13290620e+00 -1.40497315e+00
 -2.46586636e-01 -1.25028181e+00 -2.64440393e+00 -9.40730035e-01
 -1.49542737e+00 -3.11735719e-01 -2.36351803e-01  1.23851143e-01
 -7.95744479e-01 -7.56096393e-02 -3.75599384e-01  6.04574919e-01
 -6.67850256e-01  4.20744121e-01 -2.29406998e-01  3.52903992e-01
  1.99132800e-01  3.60752761e-01 -6.62575737e-02  9.06900406e-01
 -3.26961160e-01 -2.20147744e-01 -1.15107596e-01 -3.96145999e-01
 -2.07014978e-01  7.64075100e-01  4.77915168e-01  2.62517799e-02
 -8.37587655e-01 -5.66451371e-01 -5.86598575e-01  5.99974655e-02
  2.70826727e-01  4.47284251e-01 -4.29406464e-01  1.26122609e-01
 -1.92498073e-01  4.20108587e-02 -2.28834271e-01 -1.21729836e-01
 -2.36683451e-02 -4.70175445e-02 -3.86461288e-01 -9.80427146e-01
 -3.18266749e-01  4.21784431e-01 -3.24618310e-01 -3.81172866e-01
 -3.27029586e-01 -7.12235510e-01 -6.90581203e-01 -1.49954855e-01
 -3.48772556e-01 -4.75842863e-01 -1.43793777e-01 -2.29112819e-01
 -4.47037101e-01 -3.92551333e-01 -2.39857808e-01 -1.88590601e-01
  3.33658427e-01  4.29930761e-02 -6.32091463e-02 -1.52514711e-01]",Actor_10
"[-5.34723389e+02  6.62130966e+01  2.84866452e+00  1.07118769e+01
 -2.17485368e-01  4.79727364e+00  2.34143853e+00 -6.02801514e+00
 -1.33367758e+01  1.42730701e+00 -2.99751401e+00 -7.22285843e+00
  5.75927734e+00 -4.54799116e-01 -6.64518690e+00  1.67673731e+00
 -7.29138708e+00 -2.38701820e+00 -3.75700498e+00 -3.56037140e+00
 -3.24832773e+00  2.46669263e-01 -6.66186571e+00  4.08159524e-01
 -3.35514927e+00  2.24008870e+00 -4.55691576e+00  1.39985204e+00
 -2.46468830e+00 -2.42466474e+00 -3.28486156e+00  1.50365150e+00
  3.12505126e+00  1.89713573e+00  7.91931033e-01 -8.89504552e-02
  3.19143295e+00  7.92691612e+00  1.28233767e+01  1.65721855e+01
  1.28301134e+01  8.08464718e+00  3.86307287e+00  3.52091289e+00
  3.58084226e+00  5.56068993e+00  3.90865707e+00  3.43778825e+00
 -1.05515651e-01  2.70676184e+00  2.68659496e+00  4.52452898e+00
 -7.42616206e-02  8.63572955e-02  2.73790639e-02  1.33511901e+00
  8.84644315e-02 -6.74344063e-01 -5.15985310e-01  8.30119252e-01
 -1.71770334e+00  1.31989688e-01 -1.47518861e+00  2.82770060e-02
 -1.05063665e+00  4.63840425e-01 -1.98074102e-01  2.63708830e-01
 -8.18417519e-02  2.03877255e-01 -1.48890162e+00 -1.65412986e+00
 -1.92645049e+00  8.36275637e-01 -4.01272088e-01  7.69507289e-01
  1.57622457e-01  1.09180999e+00 -2.44828850e-01  4.37110513e-01
 -4.09001440e-01  1.36286750e-01 -5.10930754e-02 -5.92369623e-02
 -4.87758815e-01  2.03381274e-02 -9.22854781e-01 -5.76316774e-01
 -6.33086443e-01 -5.02093183e-03 -8.33503485e-01 -9.49992836e-01
 -6.99296951e-01 -9.24491644e-01 -9.85572875e-01 -2.28320733e-01
 -5.03904998e-01 -6.09696627e-01 -9.55292284e-01  5.88124394e-02
 -1.40027925e-01 -5.03741503e-02 -2.49800980e-01  3.69037032e-01
  2.64880240e-01  7.77328789e-01  2.47651294e-01 -1.14042617e-01
 -5.61711550e-01  5.65464556e-01  1.44605115e-01  1.19664125e-01
 -1.12502962e-01 -1.41292050e-01 -4.19420779e-01 -5.35826087e-01
 -4.85238224e-01 -4.52428907e-01 -2.00565815e-01 -1.08620197e-01
 -3.59032035e-01 -3.21927965e-01  1.08085591e-02  5.49502410e-02
 -6.05062842e-01 -5.77833891e-01 -2.65382137e-02  1.70760363e-01]",Actor_17
"[-4.69871094e+02  3.87002335e+01 -2.20036526e+01  2.98104548e+00
 -1.43988538e+00 -1.48866291e+01 -9.30918598e+00 -1.79811401e+01
 -9.32102966e+00  1.32452667e+00 -7.55489969e+00 -9.31186104e+00
  1.27832508e+00 -6.48161936e+00 -1.66833341e+00 -1.23708093e+00
 -6.57656717e+00 -2.31904790e-01  3.33790922e+00  5.32120562e+00
  1.03810234e+01  1.21243191e+01  2.49681330e+00  6.74574137e+00
 -2.28543043e+00  2.76914835e+00  2.04616976e+00  2.79677105e+00
  1.71907401e+00 -2.22919077e-01 -7.20834076e-01 -3.53707016e-01
 -2.44301724e+00  4.52159017e-01 -7.29014933e-01 -2.98054755e-01
 -1.58472466e+00 -1.50642812e+00  4.84606743e-01  2.74556303e+00
  2.87065446e-01  1.22851217e+00 -2.05358934e+00 -2.12698311e-01
 -1.12832332e+00 -1.11072505e+00 -2.50482368e+00  7.66017556e-01
 -2.23203063e+00 -4.34010327e-01 -2.19549656e+00 -1.07610226e-02
 -1.63162994e+00 -2.30296850e-01 -3.08736533e-01  8.93363595e-01
 -3.94683659e-01  1.59062457e+00  1.00007701e+00  3.69522572e-01
 -1.43697846e+00  1.01603818e+00  3.88775021e-01  4.45239723e-01
 -1.08745742e+00 -2.33953401e-01 -1.64629173e+00  3.29175264e-01
 -1.08908105e+00 -1.12765536e-01  3.01489592e-01 -1.36377022e-01
 -1.96654725e+00  3.67463171e-01 -1.18622279e+00 -7.57958293e-01
 -8.76502335e-01  1.85447976e-01 -4.28080499e-01  9.44836795e-01
 -1.11212635e+00  1.66578367e-01 -5.06389081e-01 -2.25910336e-01
  5.12221940e-02 -1.12927631e-01 -9.01146233e-01  2.71677345e-01
  2.29594499e-01  2.96567768e-01 -4.07907575e-01  1.24344371e-01
 -6.69954002e-01 -6.02876246e-01 -8.59888375e-01  6.39091015e-01
 -3.75615055e-04 -2.54570246e-01  1.80007279e-01  2.61523038e-01
 -4.53344971e-01  3.37386191e-01 -1.26815587e-01  9.07572545e-03
 -1.02516651e-01  1.11181989e-01 -5.91909647e-01 -6.45461917e-01
 -2.95242935e-01  2.55865753e-01 -1.49857461e-01 -2.58263409e-01
 -4.68018860e-01 -4.10521805e-01 -1.75102115e-01 -2.70464122e-01
 -4.78926957e-01 -3.81619513e-01 -4.58405167e-01 -9.42853093e-02
 -6.40147388e-01 -4.65010107e-01 -2.79883564e-01 -1.74371526e-01
  3.78589109e-02  3.75906043e-02 -1.37029424e-01  2.83083320e-03]",Actor_10
"[-4.48740814e+02  3.53016624e+01 -3.67176270e+00  5.22367525e+00
  1.17591667e+00 -1.84291494e+00 -1.31833971e+00 -2.20121264e+00
 -7.64753342e+00 -2.29521656e+00  8.95999968e-02 -2.69719148e+00
 -5.39838696e+00 -9.16019917e-01 -2.51387739e+00  2.24426532e+00
 -4.02157736e+00 -2.41423297e+00 -1.80767012e+00 -1.30209589e+00
 -3.43405938e+00 -1.71333957e+00 -1.48836815e+00  3.13731241e+00
  2.12895966e+00  8.91587734e+00  5.67125511e+00  8.31094074e+00
  7.24339867e+00  6.51483965e+00  5.59414625e+00  5.79566479e+00
  4.62098932e+00  4.47105742e+00  2.01149130e+00  3.08024144e+00
  2.13632965e+00  1.65445364e+00  1.30668485e+00  1.31446302e+00
  1.09148669e+00  2.27204871e+00  6.12873137e-02  6.64796293e-01
 -7.85970807e-01  1.97180665e+00  3.77218425e-01  1.45016921e+00
 -4.13578808e-01  7.52187252e-01  1.70331860e+00  2.84577513e+00
  6.60056829e-01  2.08474469e+00  1.13935089e+00  2.35439801e+00
  9.72939551e-01  6.10131502e-01  1.64210117e+00  2.49540567e+00
  1.46115869e-01  8.18227232e-02 -3.38554025e-01  6.32869661e-01
  3.18583220e-01  8.16003442e-01 -6.91365123e-01  4.31530982e-01
 -1.88877434e-01  4.43710178e-01  6.47494316e-01  1.17110741e+00
 -1.17149271e-01 -5.83182454e-01 -9.23166990e-01  6.44318640e-01
  1.42646030e-01  6.49308339e-02 -5.93901753e-01  2.32598096e-01
 -1.03092633e-01  4.75507975e-01 -2.45294377e-01  1.18168265e-01
 -3.00549507e-01  7.58090138e-01  4.06596750e-01  6.04802907e-01
  1.85496971e-01  2.51272172e-01 -3.39868255e-02  1.01650462e-01
  1.33745104e-01 -1.05631806e-01 -5.78727186e-01  3.86047691e-01
 -2.13385954e-01  4.49785963e-03  2.94539630e-01  4.54608917e-01
 -2.46449903e-01  1.46490961e-01  2.15983042e-03  3.23076874e-01
  4.11144532e-02 -2.17146520e-02 -1.66238397e-01  4.65821922e-01
 -2.77536750e-01 -2.55391598e-01 -1.45808727e-01 -7.04520792e-02
 -1.56310543e-01 -4.46668327e-01 -6.51350141e-01  5.62423952e-02
 -2.17976138e-01  1.58337682e-01 -1.62473291e-01  2.42997289e-01
 -2.35792190e-01  3.60239632e-02  1.47022843e-01  9.48864594e-02
  4.25196961e-02  3.26581419e-01 -8.07738751e-02 -2.17678204e-01]",Actor_11
"[-6.8189062e+02  5.7402634e+01 -5.8549075e+00  3.6853349e+00
 -3.2249448e+00 -8.4718351e+00 -1.0205029e+01 -6.9678340e+00
 -5.7425439e-01 -2.3423226e+00 -4.0726600e+00 -2.8214190e+00
 -1.9535024e+00  1.5989657e-01 -3.6296527e+00 -4.8138957e+00
 -4.9815907e+00 -2.5486765e+00 -4.9000182e+00 -3.7000322e+00
 -2.0090952e+00  3.1125420e-01 -2.2186933e+00  6.3659668e-01
 -2.8535062e-01  2.5033312e+00  1.0502471e+00  1.8624190e+00
  5.5960971e-01  1.8847376e+00 -9.6899545e-01  9.2118865e-01
 -5.2271683e-02  2.3663006e+00  2.1230557e+00  3.8242207e+00
  1.7558908e+00  2.6950040e+00  1.4713146e-01  7.7446187e-01
 -1.1141216e+00  1.2681818e+00 -4.8397636e-01 -3.4636089e-01
 -2.7282071e+00 -2.6194319e-01 -1.7582160e+00  8.2009530e-01
 -1.2308904e+00 -6.6462046e-01 -1.1121949e+00 -2.8694451e-01
 -7.4612433e-01  1.1624018e+00 -7.0440644e-01  1.0368550e+00
  6.7977893e-01  1.4282551e+00 -6.0834652e-01 -1.4251112e+00
 -2.3909075e+00 -5.6704491e-01 -1.6023803e+00  7.5502962e-02
 -7.4978912e-01 -3.6492777e-01 -1.7054263e+00 -8.6612934e-01
 -1.0009078e+00  5.2910578e-01 -4.4857579e-01 -1.6055839e-01
 -5.5325735e-01  2.2824599e-01 -7.7623397e-01 -4.6869943e-01
 -1.1603212e+00  6.0526084e-02  1.8482659e-02  9.7885931e-01
  3.7786016e-01  1.8419206e-01 -7.2330475e-01  2.3955440e-02
 -7.5609460e-03  7.2670132e-01 -4.6888268e-01  1.7626815e-01
  4.7182009e-01  7.4605477e-01  2.4448054e-01  2.2889534e-01
 -4.5544201e-01  3.3380425e-01  5.7860535e-02  4.9161685e-01
  2.8483525e-01  1.1999263e-01 -3.1835529e-01  2.9969043e-01
  6.6781700e-01  1.0158660e+00  6.4703785e-02  1.6448940e-01
  1.7524268e-03 -7.5150199e-02 -2.9936746e-01  3.8621965e-01
  1.9078226e-01  4.5456350e-01  4.8483020e-01  8.8851172e-03
 -6.5039736e-01  7.7104129e-02 -8.4026612e-02 -2.1398596e-01
  1.5398987e-01  2.1619852e-01 -1.8930562e-01  5.8335755e-02
 -1.3679123e-01 -7.6660402e-02 -2.0601201e-01  4.5267272e-01
 -7.0564829e-02  1.8291497e-01  5.9874255e-02 -8.6812235e-02]",Actor_20
"[-7.27404663e+02  3.99429054e+01 -1.67827082e+00  7.22319698e+00
 -4.63471413e+00 -6.32762623e+00 -6.67417526e+00 -1.10669231e+01
 -4.13650560e+00 -3.85026431e+00 -4.05907488e+00 -5.65262461e+00
 -4.39969826e+00 -3.48285794e-01 -6.77056456e+00 -3.91436982e+00
 -3.47587585e+00 -2.97915912e+00 -3.35277486e+00 -3.11939430e+00
 -7.58773088e-01 -1.76438141e+00 -2.04981089e+00  2.29174757e+00
  1.66182160e+00  2.85306382e+00  2.67426014e+00  4.11169577e+00
  1.52646053e+00  2.78528738e+00  1.40024889e+00  2.98439050e+00
  7.50423789e-01  1.39788270e+00 -2.38145128e-01  7.98558518e-02
 -7.79047310e-01  5.20917416e-01 -2.11796492e-01  1.39731455e+00
 -7.21031368e-01  2.08630562e-01 -7.61999905e-01 -9.90075096e-02
 -2.90539026e+00 -2.68301606e+00 -2.41612220e+00  1.26933485e-01
 -7.69322634e-01 -6.58127844e-01 -2.11098123e+00  1.88277408e-01
  1.91990793e-01  6.88149512e-01 -5.96867919e-01 -1.26274973e-01
 -6.30892634e-01  4.96441782e-01 -7.44265378e-01  2.15445901e-03
 -7.47388780e-01  7.31594712e-02 -3.40635538e-01  6.00953437e-02
 -7.05069304e-01 -6.47659823e-02 -8.00708354e-01 -1.12532938e+00
 -6.82095349e-01  1.14572263e+00 -2.93720096e-01 -2.76129693e-01
 -7.80852497e-01  2.80509084e-01 -6.02535963e-01  1.00564465e-01
  4.90639597e-01  9.48798239e-01  9.16776180e-01  1.89854252e+00
  1.11255193e+00  9.52326417e-01  2.18114480e-01  5.20043254e-01
  3.14840615e-01  1.29449594e+00  2.01373130e-01  1.83026582e-01
  3.80746782e-01  8.21241856e-01  2.29416937e-01  8.18121970e-01
  6.09272063e-01  3.30652475e-01 -2.37891942e-01  3.41958821e-01
  1.45653173e-01  2.55222857e-01  2.50078946e-01  4.55654740e-01
 -6.26470819e-02  1.60659567e-01  4.19365853e-01  5.26565254e-01
 -1.63180441e-01  2.84589201e-01 -1.12073421e-01 -1.82899147e-01
 -2.09559292e-01  3.57784718e-01 -1.35259673e-01 -2.28126958e-01
 -3.61187130e-01  1.34786859e-01  1.04733191e-01  1.56467423e-01
  5.76738641e-02  3.82451981e-01 -3.04884434e-01 -5.00587285e-01
 -1.42324314e-01 -3.13820153e-01 -5.05163260e-02 -2.02908099e-01
 -2.55989730e-01  9.45107639e-02 -7.38580823e-02 -3.73808146e-02]",Actor_20
"[-5.2008630e+02  2.9789667e+01 -9.4958200e+00  5.7967963e+00
 -5.9744430e+00 -1.4387767e+01 -1.4708278e+01 -1.0981912e+01
 -8.3023300e+00 -1.7950732e+00 -1.2477537e+01 -5.7975230e+00
 -4.2266989e+00 -6.9222631e+00 -3.5185802e+00 -5.7281256e+00
 -5.8888154e+00 -6.1552863e+00 -7.7470641e+00 -5.1368661e+00
 -2.7984946e+00 -1.2324737e+00  1.8581001e+00  3.5938699e+00
 -4.1246811e-01  3.5213149e+00  1.2892498e+00  3.7627690e+00
  2.9418592e+00  3.4604282e+00  5.4316431e-01  3.7973323e-01
 -2.6143866e+00  1.9051947e-01 -4.4231018e-01  2.9239230e+00
  1.1641288e+00 -7.3766790e-02 -8.7733096e-01  2.4167874e+00
  2.4492986e+00  1.1325262e+00 -1.0563384e+00 -1.5690737e+00
 -1.6567091e+00  2.1427646e-02 -2.5334463e+00 -2.9499048e-01
 -2.3763902e-01  7.8175026e-01 -1.5059546e+00 -1.2365543e+00
 -2.9631156e-01  1.8872076e+00  3.7271183e-02  2.7887514e-01
  5.7340050e-01  6.2510377e-01 -1.0342469e+00  9.4453102e-01
  2.9911700e-01 -5.8146971e-01 -1.2230109e+00 -8.2143962e-02
 -3.6047676e-01 -3.5639662e-02 -7.5884169e-01 -1.3444115e-01
 -1.6550119e+00  3.5825583e-01  6.2958568e-01  1.3053344e+00
 -3.8374327e-02  4.3358752e-01 -1.2082179e+00 -1.7347446e-01
  4.3285813e-02  7.0868069e-01 -2.3073159e-01  8.8906413e-01
  7.6686239e-01  4.2130405e-01 -1.4031398e-01 -1.2101425e-01
 -3.6922809e-01  6.8765277e-01  5.3350359e-01  6.6937171e-02
 -7.3733725e-02  4.3808600e-01  1.5607837e-01  4.2379713e-01
 -4.5947242e-01 -2.8939068e-01 -1.3994075e-01  2.7318588e-01
  3.9809847e-01  8.1465638e-01 -4.0889904e-02  2.8392231e-01
  3.1294745e-01  5.8252525e-01  3.0112982e-01  5.0119311e-01
 -9.7578444e-02  4.0687308e-01  1.5260635e-02  1.4809072e-01
  3.4108698e-01 -9.9263832e-02  1.3412963e-01  2.9536328e-01
 -4.9297974e-01 -1.7216156e-01 -6.0518287e-02  1.9481704e-01
  3.0966300e-01 -1.3638999e-02 -3.4269542e-01 -3.1495277e-02
  5.7455029e-02 -7.5028995e-03  5.6139600e-02  3.6563161e-01
 -1.4294331e-01  1.6627483e-01  1.8222935e-01 -3.2050997e-01]",Actor_16
